fig_num,name,num_parts
fig-000167,Minifig from 9784-1,4
fig-000168,Minifig from 3418-1,4
fig-000169,Minifig from 30226-1,5
fig-000170,Minifig from 1965-1,4
fig-000171,Minifig from 8831-15,4
fig-000172,Minifig from 5573-1,4
fig-000173,Minifig from 5373-1,4
fig-000174,Minifig from 1890-1,5
fig-000175,Minifig from 7901-1,4
fig-000176,Minifig from 8804-11,4
fig-000177,Minifig from 8804-8,6
fig-000178,Minifig from 40076-1,4
fig-000179,"Mia - Medium Blue Top, Lime Shorts",4
fig-000180,Minifig from 20017-1,4
fig-000181,Minifig from 6605-1,4
fig-000182,Minifig from 8402-1,4
fig-000183,Minifig from 6660-1,4
fig-000184,Minifig from 5924-1,4
fig-000185,Minifig from 7236-1,4
fig-000186,Minifig from 71004-6,4
fig-000187,"Classic Space Yellow, with Airtanks",5
fig-000188,"Olivia - Magenta Top, Dark Blue Shorts",4
fig-000189,Minifig from 8909-6,5
fig-000190,Minifig from 9509-13,6
fig-000191,Minifig from 5618-1,4
fig-000192,"Emma - Lavender Top, Bright Light Blue Skirt",4
fig-000193,Slithraa,3
fig-000194,Minifig from 1413-1,5
fig-000195,Harry Cane,5
fig-000196,Minifig from 6206-1,4
fig-000197,Minifig from 8804-14,4
fig-000198,Minifig from 7235-1,5
fig-000199,"Emma - Medium Blue Crop Top, Dark Pink Shorts",4
fig-000200,Minifig from 2870-1,4
fig-000201,Minifig from 71007-7,4
fig-000202,"Olivia - White Top, Sand Blue Skirt",4
fig-000203,Minifig from 2882-1,5
fig-000204,Minifig from 8804-12,4
fig-000205,Minifig from 1560-1,5
fig-000206,Minifig from 697-1,4
fig-000207,Minifig from 6633-1,4
fig-000208,Minifig from 6611-1,4
fig-000209,Minifig from 6698-1,6
fig-000210,Minifig from 391302-1,5
fig-000211,Minifig from 7687-14,4
fig-000212,Minifig from 850798-1,4
fig-000213,Lord Garmadon (The Golden Weapons),5
fig-000214,Minifig from 391401-1,5
fig-000215,Minifig from 6601-1,4
fig-000216,Minifig from 1843-3,4
fig-000217,"Knight, Archer with Dark Gray Helmet, and Quiver",5
fig-000218,Man with Blue Torso and Black Pants,4
fig-000219,"Emma - Lavender Top, Dark Blue Skirt",4
fig-000220,Minifig from 6634-1,4
fig-000221,Minifig from 1572-1,4
fig-000222,"Tina - White/Silver Top, Dark Purple Skirt",4
fig-000223,Minifig from 5002126-1,4
fig-000224,Minifig from 7324-22,4
fig-000225,Policeman with Button Jacket,4
fig-000226,Minifig from 7891-1,7
fig-000227,Minifig from comcon017-1,5
fig-000228,Minifig from 7567-1,4
fig-000229,Minifig from 6431-1,4
fig-000230,Minifig from 850502-1,4
fig-000231,Minifig from 1252-1,4
fig-000232,Minifig from 70139-1,5
fig-000233,Minifig from 1732-1,4
fig-000234,Minifig from 7688-1,4
fig-000235,Minifig from 7958-9,4
fig-000236,Minifig from 585-1,4
fig-000237,Minifig from 369-1,4
fig-000238,Minifig from 7144-1,4
fig-000239,Minifig from 147-1,4
fig-000240,Minifig from 373-1,4
fig-000241,Minifig from 8831-7,7
fig-000242,Minifig from 1750-1,5
fig-000243,Minifig from 7553-4,4
fig-000244,Minifig from DCSHDVD1-1,5
fig-000245,Minifig from 71004-10,4
fig-000246,Minifig from 6618-1,4
fig-000247,"Stephanie - White Jersey, Dark Blue Trousers",4
fig-000248,Minifig from 7344-1,4
fig-000249,Minifig from 30378-1,4
fig-000250,Minifig from 30133-1,4
fig-000251,Minifig from 1971-1,4
fig-000252,Minifig from 3383-1,4
fig-000253,Minifig from 3385-1,4
fig-000254,Minifig from 10666-1,4
fig-000255,Minifig from 71007-6,6
fig-000256,Spitta,3
fig-000257,Minifig from 2149-1,4
fig-000258,Minifig from 1702-1,4
fig-000259,Minifig from 4477-1,4
fig-000260,Aquaraider 2,7
fig-000261,Emmet w neck bracket only,5
fig-000262,Minifig from 5002045-1,4
fig-000263,Minifig from 6825-1,5
fig-000264,Minifig from 5002203-1,4
fig-000265,Minifig from 3180-1,4
fig-000266,Minifig from 7904-23,7
fig-000267,Minifig from 5002204-1,6
fig-000268,"Andrea - White Top, Bright Light Orange Skirt",4
fig-000269,Minifig from 4445-1,4
fig-000270,Minifig from 9509-25,5
fig-000271,Minifig from 7904-8,4
fig-000272,Minifig from 30605-1,4
fig-000273,Minifig from 4453-1,4
fig-000274,Minifig from 4225-1,4
fig-000275,"Olivia - Magenta Top, Bright Light Blue Skirt",4
fig-000276,Harry Potter in Yule Ball Tuxedo,4
fig-000277,Minifig from 3386-1,4
fig-000278,Minifig from 5001121-1,4
fig-000279,Minifig from comcon035-1,5
fig-000280,Minifig from 1873-1,4
fig-000281,Minifig from 75011-1,5
fig-000282,Jay NRG,4
fig-000283,Minifig from 1285-1,5
fig-000284,Minifig from 60000-1,5
fig-000285,Minifig from 6630-1,4
fig-000286,Minifig from 6817-1,5
fig-000287,Minifig from 5018-1,5
fig-000288,Minifig from 6508-1,6
fig-000289,Minifig from 643-1,4
fig-000290,Minifig from 3016-1,4
fig-000291,Minifig from 30261-1,4
fig-000292,Minifig from 1185-1,4
fig-000293,Minifig from 1251-1,5
fig-000294,Minifig from 3413-1,4
fig-000295,Minifig from 3573-1,4
fig-000296,Minifig from 5532-1,4
fig-000297,Minifig from 1733-1,4
fig-000298,Luke Skywalker with Medal (White in Eyes),4
fig-000299,Luke Skywalker with Medal (No White in Eyes),4
fig-000300,Minifig from 6016-1,5
fig-000301,Minifig from 4060-1,4
fig-000302,"Andrea - Bright Light Orange Top, Light Aqua Skirt",4
fig-000303,Clone Trooper,4
fig-000304,Minifig from 6675-1,4
fig-000305,Minifig from 2856197-1,4
fig-000306,Minifig from 4061-1,4
fig-000307,Minifig from 1289-1,4
fig-000308,Minifig from 1742-1,4
fig-000309,Minifig from 4066-1,4
fig-000310,Minifig from 3317-1,4
fig-000311,Minifig from 30253-1,4
fig-000312,Minifig from 2853590-1,4
fig-000313,Minifig from 30224-1,4
fig-000314,Minifig from 1741-1,5
fig-000315,Minifig from 3304-1,4
fig-000316,Minifig from 2853835-1,4
fig-000317,Minidoll from 41016-5,4
fig-000318,Minifig from 4051-1,4
fig-000319,Minifig from 3305-1,4
fig-000320,Minifig from 4449-1,4
fig-000321,Minifig from 3303-1,4
fig-000322,Cole NRG,4
fig-000323,Minifig from 30132-1,4
fig-000324,Minifig from 5000281-1,4
fig-000325,Baron Von Barron (Pilot),6
fig-000326,Minifig from 3318-1,4
fig-000327,Lord Sam Sinister with Dark Gray Pants,4
fig-000328,Minifig from 3387-1,4
fig-000329,Minifig from 3344-1,5
fig-000330,Minifig from 7119-1,3
fig-000331,Minidoll from 41234-1,5
fig-000332,Minifig from 75023-23,4
fig-000333,Minifig from 1287-1,5
fig-000334,Minifig from 60105-1,7
fig-000335,Minifig from 1730-1,4
fig-000336,Minifig from 30252-1,4
fig-000337,Minifig from 71228-1,5
fig-000338,Minifig from 75023-25,5
fig-000339,Minifig from 2540-1,4
fig-000340,Minifig from 30310-1,5
fig-000341,Minifig from 6926-1,5
fig-000342,Minifig from 6602-1,4
fig-000343,Minifig from 3177-1,4
fig-000344,Minifig from 106-1,4
fig-000345,Minifig from 6674-1,4
fig-000346,Minifig from 6191-1,4
fig-000347,Minifig from 70123-1,5
fig-000348,Minifig from 6613-1,4
fig-000349,Minifig from 2892-1,4
fig-000350,Minidoll from 41147-1,5
fig-000351,Minifig from 1974-2,5
fig-000352,Minifig from 6695-1,4
fig-000353,Minifig from 1068-1,5
fig-000354,Minifig from 1070-1,5
fig-000355,Minifig from 30266-1,4
fig-000356,Aquashark Hybrid,6
fig-000357,Minifig from 1276-1,5
fig-000358,Minifig from 1096-1,5
fig-000359,Johnny Thunder (Desert),4
fig-000360,Minifig from 1188-1,5
fig-000361,Minifig from 1180-1,4
fig-000362,Minifig from 1187-1,4
fig-000363,Minifig from 1189-1,6
fig-000364,Minifig from 1177-1,5
fig-000365,Minifig from 7242-1,4
fig-000366,Minifig from 8805-2,4
fig-000367,Minifig from 1250-1,5
fig-000368,Ghost Ninja Attila / Ming / Spyder,4
fig-000369,Mr. Cunningham,4
fig-000370,Minifig from 1284-1,5
fig-000371,Minifig from 1283-1,5
fig-000372,Minifig from 1275-1,4
fig-000373,Minifig from 6824-1,5
fig-000374,Minifig from 1298-1,5
fig-000375,Minifig from 3179-1,4
fig-000376,Minifig from 1361-1,4
fig-000377,Minifig from 1363-1,5
fig-000378,Minifig from 71007-5,5
fig-000379,Minifig from 146-1,4
fig-000380,Minifig from 1429-1,4
fig-000381,Minifig from 1430-1,4
fig-000382,Minifig from 1464-1,4
fig-000383,Minifig from 1481-1,4
fig-000384,Minifig from 1468-1,4
fig-000385,Minifig from 1467-1,4
fig-000386,Minifig from 1461-1,5
fig-000387,Minifig from 1496-1,4
fig-000388,Minifig from 1480-1,4
fig-000389,Minifig from 1517-1,5
fig-000390,Minifig from 1491-1,4
fig-000391,Minifig from 1612-1,5
fig-000392,"Olivia - Dark Pink Top, Dark Blue Skirt",4
fig-000393,Minifig from 9764-1,4
fig-000394,Minifig from 1773-1,4
fig-000395,Minifig from 1761-1,5
fig-000396,Minifig from 1762-1,5
fig-000397,Minifig from 1807-1,6
fig-000398,Minifig from 1791-1,5
fig-000399,Minifig from 1790-1,5
fig-000400,Minifig from 1795-1,5
fig-000401,Minifig from 1860-1,4
fig-000402,Minifig from 3178-1,4
fig-000403,Minifig from 1824-1,4
fig-000404,Minifig from 1871-1,4
fig-000405,Minifig from 1898-1,5
fig-000406,Blacktron I,6
fig-000407,"Knight, Scale Mail with Black Arms",4
fig-000408,Minifig from 1954-2,3
fig-000409,Minifig from 1958-1,5
fig-000410,Minifig from 1990-1,5
fig-000411,Minifig from 20004-1,4
fig-000412,Minifig from 1959-1,5
fig-000413,Minifig from 20002-1,7
fig-000414,Minifig from 71005-7,3
fig-000415,Ogel Minion,5
fig-000416,Minifig from 8827-2,4
fig-000417,Zane (The Golden Weapons),4
fig-000418,Kai (The Golden Weapons),4
fig-000419,Minifig from 6577-1,4
fig-000420,Minifig from 7553-10,4
fig-000421,Minifig from 2181-1,4
fig-000422,Cole DX,4
fig-000423,Minifig from 2188-1,4
fig-000424,Minifig from 2186-1,4
fig-000425,Minifig from 1561-1,5
fig-000426,Master Wu (The Golden Weapons),5
fig-000427,Minifig from 31009-1,4
fig-000428,Minifig from 2535-1,5
fig-000429,Minifig from 2584-1,5
fig-000430,Minifig from 2538-1,4
fig-000431,Minifig from 2536-1,8
fig-000432,Minifig from 2537-1,6
fig-000433,Minifig from 1563-1,5
fig-000434,Minifig from 7638-1,4
fig-000435,Minifig from 7634-1,4
fig-000436,Minifig from 7631-1,4
fig-000437,Minifig from 2824-3,4
fig-000438,Minifig from 2846-1,5
fig-000439,Minifig from 2855028-1,5
fig-000440,Minifig from 6480-1,5
fig-000441,"Knight, Crusader Lion with Blue Legs, Dark Gray Helmet",4
fig-000442,Minifig from 2887-1,4
fig-000443,Minifig from 30003-1,4
fig-000444,Minifig from 30011-1,5
fig-000445,Minifig from 30013-1,4
fig-000446,Minifig from 30019-1,5
fig-000447,Jay (The Golden Weapons),4
fig-000448,Minifig from 30072-1,3
fig-000449,Minifig from 30071-1,4
fig-000450,Minifig from 30090-1,4
fig-000451,Minifig from 3073-1,5
fig-000452,Rattla,4
fig-000453,Minifig from 30062-1,5
fig-000454,Minifig from 30061-1,4
fig-000455,Jay ZX (3626c Head),4
fig-000456,"Mia - Medium Blue Top, Lime Shorts",4
fig-000457,Minifig from 30111-1,4
fig-000458,Minifig from 30150-1,5
fig-000459,Minifig from 8833-5,6
fig-000460,Minifig from 30165-1,4
fig-000461,Minifig from 30164-1,4
fig-000462,Minifig from 6677-1,4
fig-000463,Minifig from 5002943-1,4
fig-000464,Lord Sam Sinister,4
fig-000465,Minifig from 30221-1,4
fig-000466,Minifig from 75023-16,3
fig-000467,Minifig from 9780-1,4
fig-000468,Minifig from 1562-1,6
fig-000469,Minifig from 3070-1,5
fig-000470,Minifig from 3071-1,4
fig-000471,Minifig from 4701-1,6
fig-000472,Minifig from 4103-2,4
fig-000473,Minifig from 5003084-1,4
fig-000474,Minifig from 3075-1,4
fig-000475,Minifig from 3077-1,5
fig-000476,Minifig from 3234-1,4
fig-000477,Minifig from 3233-1,4
fig-000478,Minifig from 3313-1,4
fig-000479,Minifig from 3300002-1,5
fig-000480,Minifig from 3300020-1,4
fig-000481,Minifig from 60055-1,5
fig-000482,Minifig from 3347-1,5
fig-000483,Minifig from 1831-1,4
fig-000484,Jing Lee the Wanderer,4
fig-000485,Minifig from 3384-1,4
fig-000486,Minifig from 30031-1,4
fig-000487,Minifig from 2152-1,6
fig-000488,Minifig from 3419-1,4
fig-000489,Buzz Lightyear,7
fig-000490,Minifig from 3424-1,4
fig-000491,Minifig from 71000-4,6
fig-000492,"Emma - Sand Green Top, Dark Pink Skirt",4
fig-000493,Minifig from 3500-1,3
fig-000494,Minifig from 3529-1,3
fig-000495,Minifig from 3530-1,3
fig-000496,Minifig from 3536-1,5
fig-000497,Minifig from 3548-1,3
fig-000498,Minifig from 3550-1,3
fig-000499,Minifig from 8805-6,5
fig-000500,Minifig from 2885-1,4
fig-000501,Minifig from 699-1,4
fig-000502,Minifig from 71000-14,4
fig-000503,Minifig from 371-3,4
fig-000504,Minifig from 75127-1,4
fig-000505,Minifig from 1736-1,5
fig-000506,Minifig from 75130-1,4
fig-000507,Minifig from 75028-1,4
fig-000508,Minifig from 3885-1,4
fig-000509,Minifig from 75030-1,4
fig-000510,Minifig from 75033-1,4
fig-000511,"Liza - Lime/White Top, Dark Pink Skirt",4
fig-000512,"Olivia - Orange Top, Bright Pink Skirt",4
fig-000513,"Andrea - Lime Top, Light Aqua Skirt",4
fig-000514,Minifig from 6528-1,5
fig-000515,Minifig from 6645-1,4
fig-000516,Minifig from 8017-1,5
fig-000517,Policeman with Life Jacket,5
fig-000518,Minifig from 71002-9,4
fig-000519,Minidoll from 41072-1,6
fig-000520,Minifig from 1581-2,4
fig-000521,Minifig from 4058-1,4
fig-000522,Minifig from 4062-1,4
fig-000523,Minifig from 4063-1,4
fig-000524,Minifig from 4064-1,4
fig-000525,Minifig from 4065-1,4
fig-000526,Pharaoh Hotep,4
fig-000527,Minifig from 4938-1,4
fig-000528,Nya (The Golden Weapons),4
fig-000529,Minifig from 71012-1,3
fig-000530,Minifig from 2871-1,8
fig-000531,Minifig from 6363-1,4
fig-000532,Minifig from 71012-2,3
fig-000533,Minidoll from 41016-2,4
fig-000534,Minifig from 709-1,4
fig-000535,Minifig from 30225-1,5
fig-000536,Minifig from 71002-12,4
fig-000537,Minifig from 71012-4,4
fig-000538,Minifig from 71012-5,4
fig-000539,Baron Von Barron (Pilot) with Light Gray Hat,6
fig-000540,Minifig from 4158-1,4
fig-000541,Minifig from 4157-1,4
fig-000542,Minifig from 7246-1,4
fig-000543,Minifig from 71002-16,4
fig-000544,Minifig from 4271-1,4
fig-000545,Minifig from 8909-8,5
fig-000546,Minifig from 6525-1,7
fig-000547,Minifig from 4285-1,4
fig-000548,Minifig from 71012-7,5
fig-000549,Minifig from 107-2,4
fig-000550,Minifig from 71012-8,4
fig-000551,Minifig from 71007-10,4
fig-000552,Minifig from 71012-9,4
fig-000553,Minifig from 4479-1,4
fig-000554,Minifig from 4443-1,4
fig-000555,Minifig from 4444-1,4
fig-000556,Minifig from 4446-1,4
fig-000557,Minifig from 4447-1,4
fig-000558,Minifig from 4448-1,4
fig-000559,Minifig from 4450-1,4
fig-000560,Minifig from 4451-1,4
fig-000561,Minifig from 4452-1,4
fig-000562,Minifig from 4454-1,4
fig-000563,Minifig from 4455-1,4
fig-000564,Minifig from 4456-1,4
fig-000565,Minifig from 4457-1,4
fig-000566,Minifig from 10674-1,5
fig-000567,Minifig from 4471-1,4
fig-000568,Minifig from 4472-1,4
fig-000569,Minifig from 71012-10,5
fig-000570,"Olivia - Bright Pink Top, Lime Trousers",4
fig-000571,Minifig from 4521221-1,3
fig-000572,Minifig from 8831-2,4
fig-000573,Minifig from 6020-1,6
fig-000574,Minifig from 71012-11,4
fig-000575,Minifig from 30373-1,4
fig-000576,Minifig from 71012-12,3
fig-000577,Minifig from 6658-1,4
fig-000578,Minifig from 4525-1,4
fig-000579,Minifig from 71007-9,4
fig-000580,Minifig from 4533-1,4
fig-000581,Minifig from 4547551-1,5
fig-000582,Minifig from 4532-1,4
fig-000583,Minifig from 71007-13,4
fig-000584,Minifig from 4539-1,4
fig-000585,Minifig from 71012-13,4
fig-000586,Minifig from 71012-14,5
fig-000587,Minifig from 4641-1,5
fig-000588,Minifig from 619-1,4
fig-000589,Minifig from 8833-4,4
fig-000590,Minifig from 71012-15,4
fig-000591,Minifig from 71012-16,4
fig-000592,Minifig from 71007-2,5
fig-000593,Minifig from 4723-1,8
fig-000594,Minifig from 4722-1,6
fig-000595,Minifig from 4721-1,5
fig-000596,Minifig from 70100-1,5
fig-000597,Minifig from 71012-17,4
fig-000598,Minifig from 4543-1,4
fig-000599,Minifig from 1847-1,4
fig-000600,Minifig from 71012-18,4
fig-000601,Minifig from 5000062-1,4
fig-000602,Minifig from 4898-1,6
fig-000603,Minifig from 8833-9,6
fig-000604,Minifig from 1247-1,4
fig-000605,Minifig from 71014-1,4
fig-000606,Minifig from 6614-1,7
fig-000607,Minifig from 60032-1,4
fig-000608,"Jay, Kendo Outfit",5
fig-000609,Minifig from 4992-1,4
fig-000610,Minifig from 5000063-1,3
fig-000611,"Stephanie - White Top, Magneta Skirt",4
fig-000612,Minifig from 5000202-1,5
fig-000613,Minifig from 71014-9,4
fig-000614,Minifig from 544-1,4
fig-000615,Minifig from 71000-2,4
fig-000616,Minifig from 7031-1,5
fig-000617,Minifig from 5560-1,6
fig-000618,Minifig from 5573-2,4
fig-000619,Minifig from 5611-1,4
fig-000620,Minifig from 5610-1,4
fig-000621,Minifig from 5614-1,5
fig-000622,Max Villano with Backpack,5
fig-000623,Minifig from 5615-1,6
fig-000624,Minifig from 5619-1,5
fig-000625,Minifig from 71014-12,4
fig-000626,Minifig from 5626-1,5
fig-000627,Minifig from 71014-11,4
fig-000628,Mike,4
fig-000629,Baron Von Barron,5
fig-000630,Minifig from 5930-1,4
fig-000631,Dr. Charles Lightning,4
fig-000632,Miss Gail Storm with Backpack,5
fig-000633,Minifig from 5932-1,4
fig-000634,Minifig from 1772-1,4
fig-000635,Minifig from 4937-1,4
fig-000636,Minifig from 5966-1,4
fig-000637,Minifig from 71014-3,4
fig-000638,Minifig from 5998-1,4
fig-000639,Minifig from 5999-1,4
fig-000640,Minifig from 7636-1,4
fig-000641,Minifig from 601-1,4
fig-000642,Minifig from 6011-1,4
fig-000643,Minifig from 60016-1,4
fig-000644,Minifig from 6010-1,4
fig-000645,Minifig from 6008-1,4
fig-000646,Minifig from 6029-1,4
fig-000647,Minifig from 71014-16,4
fig-000648,Minifig from 6007-1,5
fig-000649,Minifig from 5016-1,3
fig-000650,Minifig from 606-1,4
fig-000651,Minifig from 71001-2,4
fig-000652,Minifig from 607-1,5
fig-000653,Minifig from 608-2,4
fig-000654,Minifig from 71014-2,4
fig-000655,Minifig from 4778-1,5
fig-000656,Minifig from 71014-15,4
fig-000657,Aquanaut 1,7
fig-000658,Minifig from 4596-1,5
fig-000659,Minifig from 6193-1,4
fig-000660,Minifig from 6115-1,7
fig-000661,Minifig from 6166-1,4
fig-000662,Minifig from 6234-1,4
fig-000663,Minifig from 620-1,4
fig-000664,Minifig from 6205-1,4
fig-000665,Minifig from 6235-1,4
fig-000666,Minifig from 6192-1,4
fig-000667,Minifig from 71014-5,4
fig-000668,Minifig from 6244-1,4
fig-000669,Minifig from 30255-1,4
fig-000670,Minifig from 71014-13,4
fig-000671,Minifig from 71004-2,4
fig-000672,Minifig from 6359-1,4
fig-000673,Minifig from 71004-3,4
fig-000674,Minifig from 6362-1,4
fig-000675,Minifig from 6361-1,4
fig-000676,Minifig from 6325-1,4
fig-000677,Minifig from 6355-1,4
fig-000678,Minifig from 71014-10,4
fig-000679,Minifig from 5620-1,4
fig-000680,Cam with Black Flippers,8
fig-000681,Minifig from 1952-1,4
fig-000682,Minifig from 6407-1,4
fig-000683,Minifig from 71014-8,4
fig-000684,Minifig from 6417-1,6
fig-000685,Minifig from 71004-12,6
fig-000686,Minifig from 646-1,4
fig-000687,Minifig from 6423-1,4
fig-000688,Minifig from 6422-1,4
fig-000689,Minifig from 6439-1,4
fig-000690,Minifig from 1274-1,5
fig-000691,Minifig from 6436-1,5
fig-000692,Minifig from 6470-1,4
fig-000693,Minifig from 1277-1,4
fig-000694,Minifig from 71001-9,5
fig-000695,Minifig from 8683-7,4
fig-000696,Minifig from 6446-1,4
fig-000697,Minifig from 6471-1,4
fig-000698,Minifig from 71001-11,5
fig-000699,Minifig from 6486-1,8
fig-000700,Minifig from 6513-1,5
fig-000701,Minifig from 6511-1,4
fig-000702,Minifig from 71014-7,4
fig-000703,Minifig from 6536-1,5
fig-000704,Minifig from 6530-1,4
fig-000705,Minifig from 6546-1,5
fig-000706,Minifig from 6538-1,4
fig-000707,Minifig from 6523-1,4
fig-000708,Minifig from 71001-13,4
fig-000709,Minifig from 71014-14,4
fig-000710,Minifig from 6555-1,8
fig-000711,Minifig from 71014-6,4
fig-000712,Lloyd Garmadon,5
fig-000713,Minifig from 6609-1,4
fig-000714,Minifig from 6603-1,4
fig-000715,Minifig from 6594-1,4
fig-000716,Minifig from 6615-1,5
fig-000717,Minifig from 6629-1,4
fig-000718,Minifig from 6646-1,5
fig-000719,Minifig from 6652-1,4
fig-000720,Minifig from 6655-1,4
